CHARTER,VALID,AA_SIG,AS_SIG,HI_SIG,WH_SIG,SD_SIG,YR_RND,ACS_CORE,AVG_ED,NUMTEACH,FULL_PCT,EMER_PCT,WVR_PCT,YRS_TEACH,YRONE_TCH,YRTWO_TCH,API
?,1757,No,Yes,Yes,Yes,No,No,29,4.47,89,0.977528,0.044943,0,18.134831,3,2,High
?,?,?,?,?,?,?,?,?,3.43,2,1,0,0,7,0,0,?
?,1509,No,Yes,Yes,Yes,Yes,No,29,3.36,93,0.967741,0.010752,0,12.387096,8,17,High
?,21,No,No,No,No,No,No,9,3.19,5,1,0,0,18,0,1,?
?,1472,No,Yes,No,Yes,No,No,29,3.35,76,0.921052,0.013157,0,12.039473,5,24,High
D,345,Yes,No,Yes,No,Yes,No,25,2.56,27,0.592592,0.037037,0.037037,5.37037,3,6,High
Y,398,No,No,Yes,No,Yes,No,25,1.85,22,0.772727,0.045454,0.045454,4.272727,0,3,High
D,423,No,No,Yes,No,Yes,No,24,1.82,30,0.733333,0.1,0,5.033333,2,4,Low
?,?,?,?,?,?,?,?,?,2.56,3,0.666666,0,0,17.666666,1,0,?
D,18,No,No,No,No,No,No,19,2.71,5,0.6,0,0,3,3,0,Low
D,24,No,No,No,No,No,No,32,2,3,0.666666,0,0,8.333333,1,0,Low
?,2789,Yes,Yes,Yes,No,Yes,No,30,2.27,169,0.952662,0.005917,0,13.130177,12,16,Low
?,3032,Yes,Yes,Yes,Yes,Yes,No,34,2.93,163,0.97546,0.006134,0.006134,15.276073,5,4,High
?,3156,Yes,Yes,Yes,Yes,Yes,No,29,2.7,180,0.972222,0.005555,0,15.533333,9,13,Low
?,3403,Yes,Yes,Yes,Yes,Yes,No,33,2.97,181,0.955801,0,0,15.232044,7,8,High
?,61,No,No,No,No,No,No,26,2.04,14,1,0,0,14.928571,0,3,?
?,3069,Yes,Yes,Yes,Yes,Yes,No,30,3.03,173,0.976878,0,0,15.219653,3,13,Low
?,463,No,Yes,Yes,No,Yes,No,32,3.5,18,1,0,0,14.944444,0,0,High
?,201,No,No,Yes,No,Yes,No,44,2.32,21,1,0,0,20.047619,0,0,?
?,2466,Yes,No,Yes,No,Yes,No,32,2.18,142,0.964788,0.007042,0,10.873239,6,10,Low
?,349,Yes,No,Yes,Yes,Yes,No,24,2.79,25,1,0,0,11.52,1,1,Low
D,234,No,No,Yes,Yes,Yes,No,25,3.03,12,0.833333,0,0,10,3,1,High
D,329,Yes,No,Yes,No,Yes,No,21,2.19,17,0.588235,0.058823,0,2.588235,3,10,Low
D,209,No,No,Yes,No,Yes,No,26,2.67,14,0.357142,0,0,5.428571,1,0,Low
D,222,No,No,Yes,No,Yes,No,22,1.66,21,0.571428,0,0.095238,10.619047,2,1,Low
D,284,Yes,No,No,No,Yes,No,24,3.41,8,0.5,0,0,4.625,1,1,Low
?,49,No,No,No,No,No,No,17,1.82,11,1,0,0,13,1,1,?
D,177,Yes,No,No,No,No,No,24,2.95,13,0.846153,0,0,7.307692,1,2,Low
D,424,No,No,Yes,No,Yes,No,27,1.68,25,0.84,0.04,0,4.68,2,2,Low
D,268,No,No,Yes,Yes,Yes,No,24,3.67,7,0.714285,0,0,10.142857,0,1,High
?,25,No,No,No,No,No,No,9,1.88,11,0.90909,0,0,20.636363,0,0,?
D,401,Yes,No,Yes,No,Yes,No,23,2.07,25,0.68,0.12,0,4.88,1,3,Low
?,69,No,No,Yes,No,Yes,No,13,1.9,12,1,0,0,12.75,1,0,?
?,281,Yes,No,Yes,No,Yes,No,22,1.99,14,1,0,0,8.357142,1,2,High
?,275,No,No,Yes,No,Yes,No,26,2.68,17,1,0,0,7.882352,2,2,High
D,310,No,No,Yes,No,Yes,No,25,1.66,20,0.9,0,0,5.6,1,1,High
D,384,No,No,Yes,No,Yes,No,19,2.07,30,0.666666,0.066666,0,4.966666,4,3,Low
D,377,No,No,Yes,No,Yes,No,24,1.58,23,0.608695,0.086956,0,4.304347,4,4,High
D,371,No,No,Yes,No,Yes,No,23,1.96,27,0.74074,0,0,3.888888,5,9,High
?,608,No,No,Yes,No,Yes,No,27,2.04,34,0.970588,0,0,6.882352,2,3,Low
?,721,No,No,Yes,Yes,Yes,No,27,2.37,46,1,0,0,10.108695,0,2,Low
?,621,No,No,Yes,No,Yes,No,27,1.99,34,0.941176,0,0,6.647058,2,4,Low
D,437,No,No,Yes,Yes,Yes,No,24,2.81,27,0.703703,0.074074,0,4.962962,4,5,High
D,350,No,No,Yes,Yes,No,No,24,4.21,20,0.6,0.05,0.05,7.5,2,2,High
D,355,Yes,No,Yes,No,Yes,No,23,1.56,25,0.64,0.04,0,5.04,4,5,Low
D,396,No,No,Yes,No,Yes,No,26,1.75,25,0.84,0,0,3.4,6,2,High
?,2118,Yes,No,Yes,No,Yes,Yes,24,1.64,177,0.926553,0,0,6.706214,13,32,Low
?,1918,No,No,Yes,No,Yes,No,32,1.89,113,0.920353,0,0,5.823008,10,18,Low
?,1026,No,No,Yes,No,Yes,No,29,1.9,56,0.982142,0,0,6.803571,6,7,Low
?,55,No,No,Yes,No,No,No,16,1.72,6,1,0,0,15.666666,0,0,?
D,237,No,No,Yes,No,Yes,No,22,2.32,18,0.611111,0,0,3.222222,3,5,High
D,?,?,?,?,?,?,No,23,2.25,20,0.5,0,0,7.8,1,2,?
D,86,Yes,No,No,No,Yes,No,23,2.01,8,0.75,0,0.125,3.75,3,0,Low
D,118,No,No,Yes,No,Yes,No,21,2.75,11,0.363636,0,0.272727,2,7,2,Low
?,64,No,No,Yes,No,Yes,No,21,1.94,8,1,0,0,11.75,0,0,?
D,57,No,No,No,No,Yes,No,21,2.28,11,0.818181,0,0,9.181818,0,1,Low
D,257,No,No,Yes,No,Yes,No,25,1.62,16,0.5625,0.0625,0,3,9,0,Low
D,323,No,No,Yes,No,Yes,No,23,1.65,19,0.631578,0,0.052631,2.894736,6,1,High
D,360,No,No,Yes,No,Yes,No,27,1.56,19,0.368421,0.263157,0,4.368421,3,4,Low
D,384,No,No,Yes,No,Yes,No,25,1.59,21,0.619047,0.142857,0,5.333333,4,1,Low
D,307,No,No,Yes,No,Yes,No,25,1.63,20,0.6,0.1,0,3.85,8,0,Low
D,121,No,No,Yes,No,Yes,No,23,1.89,8,1,0,0,5.875,0,0,Low
D,238,Yes,No,Yes,No,Yes,No,26,1.83,14,0.642857,0,0,4.428571,2,5,Low
D,245,Yes,No,Yes,No,Yes,No,29,1.59,12,0.25,0.083333,0,2.916666,5,3,Low
D,313,Yes,No,Yes,No,Yes,No,23,2,15,0.666666,0,0,2.933333,5,4,High
D,420,No,No,Yes,No,Yes,No,20,1.95,25,0.8,0,0,3.44,5,5,High
?,690,No,No,Yes,No,Yes,No,29,1.76,44,0.886363,0,0,8.613636,2,7,Low
?,846,No,No,Yes,No,Yes,No,31,1.93,61,0.983606,0,0,7.655737,7,7,Low
?,1043,No,No,Yes,No,Yes,No,26,1.88,74,0.972972,0,0,7.635135,3,9,Low
?,1639,No,No,Yes,No,Yes,No,31,1.76,100,0.96,0,0,7.17,11,21,Low
D,115,No,No,Yes,No,Yes,No,19,1.28,6,0.5,0,0.166666,4.833333,1,2,High
D,146,Yes,No,No,No,Yes,No,19,2.87,12,0.416666,0.25,0,6.166666,2,1,Low
D,191,Yes,No,No,No,Yes,No,24,2.99,15,0.4,0,0,3.8,3,4,Low
?,270,No,No,Yes,No,Yes,No,20,1.89,53,1,0,0,6.471698,12,13,Low
?,145,No,No,Yes,No,Yes,No,20,1.57,26,0.961538,0,0,3.76923,3,9,Low
?,279,No,No,Yes,No,Yes,No,24,1.65,18,0.777777,0,0,3.944444,5,4,Low
?,278,No,No,Yes,No,Yes,No,38,1.75,17,1,0,0,4.058823,4,2,Low
?,1891,Yes,No,Yes,No,Yes,No,29,1.75,110,0.963636,0,0,6.554545,16,37,Low
D,150,No,No,Yes,No,Yes,No,21,1.9,12,0.416666,0,0,1.666666,7,3,Low
D,44,No,No,No,No,No,No,11,3.04,6,0.833333,0,0,3.333333,3,0,Low
D,257,No,No,Yes,No,Yes,No,22,1.44,16,0.875,0.0625,0,6.3125,3,2,Low
D,94,Yes,No,No,No,Yes,No,14,2.63,6,0.666666,0,0,6.833333,1,1,Low
?,1140,No,No,Yes,No,Yes,No,29,1.66,73,0.972602,0,0,9.342465,11,4,Low
?,958,No,No,Yes,No,Yes,No,25,2.05,58,0.87931,0.017241,0,7.620689,11,5,Low
?,208,No,No,Yes,No,Yes,No,27,1.74,10,1,0,0,2.3,6,1,Low
?,330,No,No,Yes,No,Yes,No,26,1.72,22,0.863636,0,0,4.636363,6,4,Low
?,215,No,No,Yes,No,Yes,No,23,1.76,13,1,0,0,4.846153,7,1,Low
?,283,No,No,Yes,No,Yes,No,24,1.74,23,0.913043,0,0,6.695652,1,8,Low
?,161,No,No,Yes,No,Yes,No,23,1.56,14,0.928571,0,0,12.642857,3,0,Low
?,288,No,No,Yes,No,Yes,No,25,1.89,22,1,0,0,7.590909,6,1,Low
D,135,Yes,No,No,No,Yes,No,21,3.26,9,0.888888,0,0,4.333333,1,2,Low
D,34,No,No,No,No,No,No,22,2.02,7,0.714285,0,0,3.571428,3,0,High
D,146,Yes,No,Yes,No,Yes,No,28,1.77,10,0.3,0.3,0,3.6,2,3,Low
D,140,No,No,Yes,No,Yes,No,29,1.76,7,1,0,0,11.857142,1,0,Low
D,152,Yes,No,Yes,No,Yes,No,24,1.99,10,0.6,0.1,0,4.6,2,0,Low
?,12,No,No,No,No,No,No,11,1.72,2,1,0,0,5.5,1,0,?
?,30,No,No,No,No,No,No,21,1.45,4,1,0,0,4.75,1,0,?
?,165,No,No,Yes,No,Yes,No,11,1.84,36,1,0,0,15.277777,2,1,?
?,19,No,No,No,No,No,No,20,2.09,3,1,0,0,4,0,1,?
?,19,No,No,No,No,No,No,20,2.44,3,0.666666,0,0,12.333333,1,0,?
?,31,No,No,No,No,No,No,18,1.86,3,1,0,0,19.333333,0,0,?
?,20,No,No,No,No,No,No,24,1.55,4,1,0,0,15.75,0,0,?
?,39,No,No,No,No,No,No,4,1.53,4,1,0,0,9,1,1,?
?,53,No,No,No,No,No,No,12,1.67,15,1,0,0,15.533333,0,1,?
?,2460,Yes,No,Yes,No,Yes,No,28,1.86,148,0.979729,0,0,10.364864,3,14,Low
?,60,No,No,Yes,No,Yes,No,13,1.78,13,1,0,0,26.076923,0,0,?
?,27,No,No,No,No,No,No,20,2.27,3,1,0,0,25.333333,0,0,?
?,16,No,No,No,No,No,No,16,2.13,6,1,0,0,13.166666,0,0,?
?,16,No,No,No,No,No,No,19,2.12,3,1,0,0,13.666666,0,0,?
?,3112,No,No,Yes,No,Yes,Yes,27,1.65,196,0.959183,0,0,11.714285,7,21,Low
?,933,No,No,Yes,No,Yes,No,25,1.8,83,0.975903,0,0,11.975903,4,4,Low
?,16,No,No,No,No,No,No,10,2.41,5,1,0,0,22.4,0,0,?
?,16,No,No,No,No,No,No,20,1.1,2,1,0,0,6.5,0,0,?
?,30,No,No,No,No,No,No,19,2.2,4,1,0,0,18.25,0,0,Low
?,2128,Yes,No,Yes,Yes,Yes,No,31,2,139,0.985611,0.007194,0,10.61151,6,8,Low
?,22,No,No,No,No,No,No,14,2.23,4,1,0,0,20.5,0,0,?
?,?,?,?,?,?,?,No,7,2.75,4,1,0,0,16.25,0,0,?
?,26,No,No,No,No,No,No,30,1.67,4,1,0,0,19.5,0,1,?
?,18,No,No,No,No,No,No,18,1.58,4,1,0,0,15.25,0,0,?
?,27,No,No,No,No,No,No,20,2.1,4,1,0,0,10.75,0,0,?
?,17,No,No,No,No,No,No,8,2.42,7,1,0,0,19,0,1,?
?,21,No,No,No,No,No,No,33,1.73,4,1,0,0,19.5,0,0,?
?,24,No,No,No,No,No,No,20,2.07,3,1,0,0,13.333333,0,0,?
?,46,No,No,No,No,No,No,13,1.92,12,0.916666,0,0,11.833333,1,1,?
?,1244,No,No,Yes,No,Yes,No,30,1.95,84,0.940476,0,0,13.464285,2,10,Low
?,?,?,?,?,?,?,No,8,1.85,4,1,0,0,10.75,0,0,?
?,22,No,No,No,No,No,No,24,1.79,4,1,0,0,11.75,0,0,?
?,23,No,No,No,No,No,No,13,2.02,4,1,0,0,26.25,0,0,?
?,2476,Yes,No,Yes,No,Yes,No,31,2.71,138,0.963768,0,0,13.630434,4,6,Low
?,24,No,No,No,No,No,No,15,1.65,6,1,0,0,20.166666,0,0,?
?,34,No,No,No,No,No,No,32,2.04,3,1,0,0,22,0,0,?
?,?,?,?,?,?,?,No,7,1.77,4,1,0,0,27.25,0,0,?
?,22,No,No,No,No,No,No,14,2.88,3,1,0,0,15,0,0,?
?,75,No,No,No,No,Yes,?,?,2.67,22,0.90909,0,0,13.772727,1,4,?
?,122,No,No,Yes,No,Yes,?,?,2.17,21,0.857142,0,0,11,2,1,?
?,35,No,No,No,No,No,No,17,1.98,7,1,0,0,11.142857,0,0,?
?,35,No,No,No,No,No,No,22,1.85,6,1,0,0,17.166666,0,0,?
?,2233,Yes,Yes,Yes,Yes,Yes,No,32,2.65,127,0.976377,0,0,13.346456,2,9,Low
?,28,No,No,No,No,No,No,20,2.19,4,1,0,0,11.25,0,0,?
?,2653,Yes,Yes,Yes,Yes,Yes,No,31,2.46,145,0.97931,0,0,11.931034,4,12,High
?,35,No,No,No,No,No,No,25,1.73,3,1,0,0,5.333333,0,0,?
?,18,No,No,No,No,No,No,25,1.84,5,1,0,0,18.2,0,0,?
?,31,No,No,No,No,No,No,22,1.8,3,1,0,0,5,2,0,?
?,37,No,No,No,No,No,No,16,1.96,4,1,0,0,17.5,0,0,?
?,55,No,No,Yes,No,Yes,No,20,2.04,7,1,0,0,21.142857,0,0,?
?,1326,Yes,No,Yes,No,Yes,No,25,2.18,115,0.956521,0,0,10.243478,10,15,Low
?,14,No,No,No,No,No,No,12,2.41,3,1,0,0,5,0,1,Low
?,22,No,No,No,No,No,No,13,2.25,4,1,0,0,13.25,0,0,?
?,26,No,No,No,No,No,No,22,2.14,4,1,0,0,14.5,0,0,?
?,28,No,No,No,No,No,No,1,2.03,3,1,0,0,10,0,1,?
?,28,No,No,No,No,No,No,1,2.21,4,1,0,0,15,0,0,?
?,1120,Yes,No,Yes,No,Yes,No,25,2.16,95,0.947368,0,0,9.694736,11,14,Low
?,15,No,No,No,No,No,No,12,1.92,8,0.875,0,0,15.125,0,0,?
?,2391,No,No,Yes,Yes,Yes,No,30,2.81,127,0.984251,0.015748,0,12.905511,7,5,Low
?,2417,Yes,Yes,Yes,Yes,Yes,No,33,3.27,125,0.976,0,0.008,12.688,1,4,High
?,20,No,No,No,No,No,No,19,1.59,4,1,0,0,22.5,0,0,?
?,1272,Yes,Yes,Yes,Yes,Yes,No,26,3.5,66,1,0,0,12.757575,1,4,High
?,717,No,No,Yes,No,Yes,No,26,2.16,49,0.959183,0,0,11.020408,2,2,High
?,1761,Yes,Yes,Yes,Yes,Yes,No,29,2.48,117,0.965811,0,0,11.709401,2,3,High
?,2750,No,No,Yes,No,Yes,Yes,29,1.76,161,0.968944,0,0,10.043478,7,6,Low
?,1252,Yes,No,Yes,No,Yes,No,29,2.38,71,0.985915,0,0,9.098591,7,8,Low
?,1810,No,No,Yes,No,Yes,No,28,1.88,124,0.975806,0.008064,0,14.5,2,2,Low
?,3131,Yes,No,Yes,No,Yes,Yes,25,1.72,228,0.938596,0,0,8.16228,22,41,Low
?,1498,Yes,Yes,Yes,Yes,Yes,No,29,3.48,66,1,0,0,16.90909,1,0,High
?,2027,Yes,No,Yes,No,Yes,No,29,2.16,141,0.950354,0.014184,0,12.361702,5,10,Low
?,3210,No,No,Yes,No,Yes,Yes,28,1.72,214,0.976635,0.009345,0,12.943925,16,7,Low
D,2989,Yes,Yes,Yes,Yes,Yes,No,28,3.59,156,0.967948,0,0,13.025641,5,12,High
?,1768,No,No,Yes,Yes,Yes,No,30,2.37,117,0.974358,0,0,12.641025,3,7,Low
?,2135,Yes,No,Yes,Yes,Yes,No,28,2.66,139,0.985611,0,0,13.705035,6,7,Low
?,1172,Yes,No,Yes,Yes,Yes,No,26,2.28,102,0.990196,0.009803,0,13.5,4,4,Low
?,2991,No,No,Yes,No,Yes,Yes,27,1.67,192,0.963541,0.010416,0,11.645833,19,15,Low
?,1361,No,No,Yes,No,Yes,No,27,1.63,107,0.934579,0,0,9.551401,8,16,Low
?,948,Yes,No,Yes,No,Yes,No,26,1.59,99,0.939393,0.010101,0,7.535353,4,10,Low
?,1910,No,Yes,Yes,No,Yes,No,26,1.81,127,0.976377,0,0,10.708661,6,11,Low
D,968,Yes,No,Yes,No,Yes,No,25,1.79,83,0.361445,0.096385,0.036144,3.554216,34,14,Low
?,2159,Yes,Yes,Yes,No,Yes,Yes,24,2.11,169,0.970414,0,0,11.100591,13,5,Low
?,2289,Yes,No,Yes,No,Yes,Yes,26,1.9,170,0.952941,0,0,9.541176,10,21,Low
?,2525,No,Yes,Yes,Yes,Yes,Yes,29,2.26,174,0.994252,0,0,13.695402,3,2,Low
?,46,No,No,No,No,No,No,4,2.69,20,0.9,0,0,16.5,0,1,?
?,1823,No,No,Yes,No,Yes,No,28,1.93,139,0.971223,0,0,11.42446,8,17,Low
?,2344,Yes,No,Yes,Yes,Yes,No,29,2.26,142,0.978873,0,0,12.232394,7,10,Low
?,2002,No,Yes,Yes,Yes,Yes,No,29,2.29,128,0.953125,0.007812,0,13.828125,2,2,Low
?,55,No,No,Yes,No,Yes,No,15,1.85,10,1,0,0,15,0,1,?
?,1485,No,No,Yes,Yes,Yes,No,27,2.24,109,0.972477,0,0,11.944954,4,3,Low
?,3224,No,No,Yes,No,Yes,Yes,25,1.74,240,0.966666,0.004166,0,10.8,19,20,Low
?,2106,No,No,Yes,No,Yes,No,28,1.67,142,0.97183,0.007042,0,14.978873,1,11,Low
?,2432,Yes,No,Yes,Yes,Yes,No,28,2.36,145,0.97931,0,0,12.972413,6,6,Low
?,2360,No,No,Yes,No,Yes,No,31,2.03,137,0.9927,0,0,9.817518,16,18,Low
?,2483,No,No,Yes,No,Yes,No,29,1.86,158,0.987341,0,0,10.759493,5,21,Low
?,1955,Yes,Yes,Yes,Yes,Yes,No,31,3,120,0.983333,0,0,12.416666,3,6,High
?,1617,Yes,Yes,Yes,Yes,Yes,No,30,2.47,99,1,0.010101,0,11.161616,7,5,Low
?,2079,No,Yes,Yes,Yes,Yes,No,30,2.57,128,0.96875,0.007812,0,13.304687,2,7,Low
?,1789,Yes,Yes,Yes,Yes,Yes,No,29,2.43,120,0.991666,0,0,14.366666,6,2,Low
?,1552,No,Yes,Yes,Yes,Yes,No,30,2.44,94,0.968085,0,0,13.702127,1,4,Low
?,1528,Yes,No,Yes,No,Yes,No,25,2.06,132,0.924242,0,0,10,11,23,Low
?,1191,Yes,No,Yes,No,Yes,No,27,2.86,82,0.987804,0,0,13,4,4,Low
?,114,No,No,Yes,No,Yes,No,5,2.44,35,1,0,0,17.971428,0,0,?
?,1758,No,No,Yes,No,Yes,No,26,1.92,158,0.968354,0,0,9.348101,16,15,Low
?,2185,Yes,No,Yes,Yes,Yes,No,31,2.34,128,0.992187,0.015625,0,13.601562,5,7,Low
?,1305,No,Yes,Yes,Yes,Yes,No,27,2.49,68,0.985294,0,0,18.691176,3,0,High
?,?,?,?,?,?,?,No,13,1.68,101,0.861386,0.0099,0,9.029702,6,11,?
?,130,No,No,Yes,No,Yes,No,22,1.55,19,0.947368,0.052631,0,10.947368,0,1,?
D,2005,Yes,Yes,Yes,Yes,Yes,No,30,3.53,118,0.923728,0.008474,0.008474,14.042372,6,2,High
?,40,No,No,No,No,No,No,7,1.77,17,1,0,0,12,1,1,?
?,?,?,?,?,?,?,No,4,2.22,95,1,0,0,21.073684,0,2,?
D,319,No,No,Yes,No,Yes,No,15,1.79,29,0.586206,0.068965,0.068965,6.241379,1,2,Low
D,237,Yes,No,Yes,No,Yes,No,23,2.6,11,0.454545,0.363636,0,6.727272,1,0,Low
?,90,No,No,Yes,No,Yes,No,5,2,43,1,0,0,17.023255,1,3,?
?,124,No,No,Yes,No,Yes,No,?,2.8,25,0.96,0,0,13.56,0,0,?
?,181,Yes,No,Yes,No,Yes,No,?,2.21,36,0.972222,0,0,12.444444,0,2,?
?,127,No,No,Yes,No,Yes,No,?,2.64,26,1,0,0,19,0,1,?
?,82,No,No,No,No,No,No,?,3.22,21,0.95238,0,0,18.380952,1,0,?
?,240,No,No,Yes,No,Yes,No,11,1.89,44,1,0,0,15.681818,1,2,?
?,1480,No,No,Yes,No,Yes,No,26,1.93,84,0.773809,0.047619,0,7.511904,16,9,Low
?,13,No,No,No,No,No,No,12,1.93,4,1,0,0,23.75,0,0,Low
D,31,No,No,No,No,No,Yes,25,3.4,13,1,0,0,11.538461,0,0,Low
?,70,No,No,Yes,No,Yes,No,23,1.89,18,1,0,0,20.111111,0,0,?
?,2002,Yes,No,Yes,No,Yes,No,25,1.97,129,0.88372,0.038759,0,14.248062,7,8,Low
?,38,No,No,No,No,No,No,17,2.26,7,1,0,0,13.285714,0,0,?
?,1254,Yes,No,Yes,Yes,Yes,No,28,2.68,76,0.907894,0.013157,0,12.328947,1,2,High
?,40,No,No,No,No,No,No,22,2.63,2,1,0,0,24.5,0,0,Low
?,2439,No,Yes,Yes,No,Yes,No,35,2.2,116,0.913793,0.051724,0,17.456896,2,1,Low
?,2363,No,No,Yes,No,Yes,No,29,1.63,130,0.861538,0.015384,0,16.192307,10,4,Low
?,2376,No,No,Yes,No,Yes,No,34,2.03,124,0.943548,0.016129,0,14.653225,5,4,Low
?,39,No,No,No,No,No,No,26,1.89,17,0.882352,0.058823,0,15.941176,4,0,?
?,?,?,?,?,?,?,?,?,1.69,8,0.875,0.125,0,14.375,0,0,?
?,1246,No,No,Yes,No,Yes,No,29,1.89,81,0.864197,0.086419,0.024691,12.802469,2,4,Low
?,1532,No,Yes,Yes,Yes,Yes,No,28,2.95,87,0.885057,0.114942,0.011494,12.229885,3,6,High
?,1604,No,No,Yes,No,Yes,No,28,2.27,93,0.827956,0.096774,0,10.118279,10,4,Low
?,77,No,No,Yes,No,No,No,21,2.11,15,1,0,0,8.666666,3,1,?
?,?,?,?,?,?,?,No,8,3.72,8,1,0,0,15.125,0,0,?
?,1736,No,Yes,Yes,Yes,No,No,26,4.34,108,1,0,0,13.12037,2,8,High
?,1338,No,Yes,No,Yes,No,No,28,4.29,81,1,0,0,8.061728,2,5,High
?,3193,Yes,No,Yes,No,Yes,No,29,1.84,191,0.979057,0.005235,0,13.345549,4,7,Low
?,88,No,No,Yes,No,Yes,No,19,1.84,13,0.692307,0,0,11.846153,2,2,?
?,?,?,?,?,?,?,?,?,1.98,4,0.75,0,0,21,0,0,?
D,78,No,No,No,No,Yes,No,16,3.13,10,0.4,0.5,0,6.1,1,1,Low
?,61,No,No,No,No,No,?,?,2.7,10,0.8,0.2,0,17.2,1,1,Low
D,25,No,No,No,No,No,No,16,2.38,5,0.8,0.2,0,7,1,0,?
?,771,Yes,No,Yes,No,Yes,No,25,2.84,58,0.844827,0.086206,0,11.5,4,2,Low
?,1541,Yes,No,Yes,Yes,Yes,No,31,3.04,72,0.916666,0.027777,0.013888,13.305555,0,0,High
?,791,Yes,No,Yes,No,Yes,No,23,2.25,67,0.776119,0.02985,0,8.746268,17,3,Low
?,66,No,No,No,No,No,No,13,2.59,11,0.90909,0.090909,0,15.181818,1,0,?
?,1563,Yes,No,Yes,Yes,Yes,No,28,2.93,93,0.827956,0.064516,0.010752,14.741935,3,3,Low
Y,28,No,No,No,No,No,No,7,2.23,7,0.714285,0,0,12.714285,0,2,?
?,1136,No,No,Yes,No,Yes,No,30,1.71,69,0.811594,0.057971,0,11.130434,2,9,Low
?,1410,No,No,Yes,No,Yes,No,30,1.79,95,0.894736,0.042105,0,13.021052,2,7,Low
?,57,No,No,Yes,No,No,No,11,2.03,12,1,0,0,10.916666,0,0,?
?,1191,No,No,Yes,No,Yes,No,31,1.98,75,0.893333,0.093333,0,15.2,1,2,Low
?,57,No,No,Yes,No,Yes,No,14,1.71,6,1,0,0,19.5,0,1,Low
?,1258,Yes,Yes,Yes,Yes,Yes,No,31,3.27,71,0.915492,0.028169,0,10.056338,3,7,High
?,392,No,No,Yes,No,Yes,No,30,1.78,17,1,0,0,11.529411,0,0,High
?,806,No,Yes,No,Yes,No,No,23,4.22,53,1,0,0,19.113207,1,1,High
?,24,No,No,No,No,No,No,16,2.9,10,0.7,0.2,0,13.1,2,1,?
?,2150,Yes,Yes,Yes,Yes,Yes,No,30,3.58,131,0.969465,0,0,13.343511,3,0,High
?,993,No,No,No,Yes,Yes,No,29,4.07,61,0.967213,0.016393,0,14.180327,2,3,High
?,1116,No,Yes,Yes,Yes,No,No,27,4.02,67,0.955223,0.014925,0,14.880597,2,5,High
?,1428,No,Yes,Yes,Yes,Yes,No,28,3.14,88,0.965909,0.022727,0.011363,11.5,7,9,High
?,22,No,No,No,No,No,?,?,2.6,4,0.75,0,0,2.25,1,1,?
?,?,?,?,?,?,?,?,?,2.38,1,1,0,0,3,0,0,?
?,?,?,?,?,?,?,?,?,2.87,2,1,0,0,5.5,0,1,?
?,1582,Yes,Yes,Yes,Yes,Yes,No,29,3.17,84,0.964285,0.023809,0,11.214285,5,4,High
?,46,No,No,No,No,No,No,23,2.79,10,1,0,0,11,0,1,?
?,1590,No,Yes,Yes,Yes,Yes,No,25,3.79,96,0.96875,0.020833,0,11.770833,1,6,High
?,1554,No,Yes,Yes,Yes,Yes,No,28,3.22,87,0.988505,0,0,11.160919,5,4,High
?,1489,No,Yes,Yes,Yes,Yes,No,27,3.78,85,0.988235,0.011764,0,11.435294,2,2,High
?,73,No,No,Yes,No,Yes,No,27,2.38,13,1,0,0,10,1,0,?
?,1976,No,Yes,Yes,Yes,Yes,No,28,2.57,115,0.913043,0,0,12.121739,9,6,High
?,129,No,No,Yes,No,Yes,Yes,26,2.14,28,0.928571,0,0,15.214285,2,0,?
?,1997,No,No,Yes,Yes,Yes,No,28,2.32,117,0.94017,0,0,11.264957,5,6,High
?,1697,No,No,Yes,Yes,Yes,No,29,3.08,95,0.989473,0,0,12.168421,3,2,High
?,1090,No,No,Yes,No,Yes,No,31,2.09,65,0.96923,0,0,13.138461,4,0,Low
?,2070,No,No,Yes,Yes,Yes,No,30,2.52,108,0.898148,0,0.009259,10.657407,9,6,High
?,1750,No,No,Yes,Yes,Yes,No,29,2.33,96,0.979166,0,0,11.302083,2,3,High
?,96,No,No,Yes,No,Yes,?,?,2.24,13,0.923076,0,0,17.461538,0,0,?
?,1388,Yes,No,Yes,Yes,Yes,No,33,3.05,79,0.911392,0,0,10.544303,1,4,High
?,1895,No,Yes,Yes,Yes,Yes,No,33,3.72,98,0.938775,0.020408,0,9.673469,2,9,High
Y,19,No,No,No,No,No,?,?,3.24,4,1,0,0,8.75,0,0,Low
?,134,No,No,No,Yes,No,No,26,3.27,5,1,0,0,5.6,1,1,High
D,39,No,No,No,No,No,No,23,2.52,4,1,0,0,5.5,0,0,Low
?,1804,No,No,Yes,Yes,Yes,No,31,3.17,97,0.948453,0.020618,0,15.103092,2,4,High
?,1762,No,No,Yes,Yes,Yes,No,33,3.49,96,0.958333,0.03125,0,13.239583,3,0,High
?,33,No,No,No,No,No,No,21,3.61,3,1,0,0,22.333333,0,0,High
?,1516,No,No,Yes,Yes,Yes,No,31,3.29,83,0.987951,0,0,18.409638,0,2,High
?,67,No,No,No,No,No,No,20,2.84,20,0.95,0,0,11.7,1,1,?
?,2225,Yes,Yes,Yes,Yes,Yes,No,33,3.71,115,0.930434,0.043478,0,14.008695,2,7,High
D,909,No,No,Yes,Yes,Yes,Yes,34,2.63,66,0.757575,0.10606,0,5.651515,4,3,Low
